"Date","cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth","Number of Bicycle Hires","CO","NO","NO2","O3","PM10","SO2","Bus journeys (m)","Underground journeys (m)","DLR Journeys (m)","Tram Journeys (m)","Overground Journeys (m)","London Cable Car Journeys (m)","TfL Rail Journeys (m)"
2010-07-30,6,1.1,115,23.1,18.3,13.2,0,101610,NA,6897,0.8,146.10001,113.4,11.2,36,11,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-07-31,6,3.1,157,25.1,17.7,12.3,2.2,101470,NA,5564,0.5,116.6,90.1,8.6,32.5,7.5,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-01,5,4.7,184,23.9,21.1,17,0,101160,NA,4303,0.6,84.7,75.3,12.3,NA,5.8,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-02,7,0.3,89,23.4,19.3,14.6,0,101320,NA,6642,0.4,30.8,50.9,17.1,NA,7.9,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-03,7,2,134,23.6,19.5,15.6,0,101680,NA,7966,0.8,145,120.1,8.3,NA,8.3,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-04,5,3.9,169,20.1,17.9,12.1,0,101570,NA,7893,0.6,120.7,94.2,13.8,28.2,7.8,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-05,6,1.5,121,22.6,17.4,14.7,3.2,100800,NA,8724,0.4,47.2,64,16.5,16.9,3.1,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-06,4,7.9,227,21.4,17.3,11.9,0,101250,NA,9797,0.9,207.2,131.3,7.2,42.1,5.3,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-07,6,2.5,141,21.8,16.4,11.3,2.6,101480,NA,6631,0.8,142.60001,91.4,8.3,33.4,4.4,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-08,7,1.2,112,24.5,18.9,15.9,1,101480,NA,7864,0.3,30.9,43.1,29.9,23.3,4.3,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-09,4,6.2,201,25.1,19,13.5,0,101940,NA,6191,0.8,160.7,118.4,8.7,42.3,6.6,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-10,3,8.1,226,19.3,19.6,14.1,4.8,101540,NA,4802,0.9,202.8,120.1,6.8,37,11.3,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-11,7,0,68,23,16.7,14.1,3.8,101040,NA,14013,0.7,124.3,96.9,11,32.5,8.1,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-12,3,6.6,203,20.4,17.3,11.6,0,101330,NA,13080,0.5,78,73.1,17.7,23.9,7.7,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-13,6,0.4,87,18,16.4,12.3,2.4,101640,NA,12151,0.4,51.1,58.5,14.8,20.9,7.8,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-14,6,1.3,111,18.4,14.5,11,4.8,101750,NA,9195,0.4,36.7,51.1,20,23,1.6,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-15,6,0.8,98,22.7,15.7,13,12.8,101740,NA,10928,0.2,7.9,21.7,56,24.5,1.5,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-16,3,4.3,165,25.4,17.9,13,0,102020,NA,15384,0.3,14.1,32.1,47.4,19.8,5.7,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-17,4,7.7,213,21,19.1,12.8,0.6,101620,NA,15396,0.9,194.60001,129.10001,9.3,42.9,9.1,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-18,7,1.7,117,21.6,17.9,14.7,0,101060,NA,16062,0.6,110.8,89.3,11.9,30.1,8.7,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-19,6,4.8,170,21.9,17.3,13,0.4,100830,NA,17170,NA,NA,NA,NA,42.2,NA,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-20,5,3.2,143,22.1,17,12,0,101240,NA,16462,NA,NA,NA,NA,37.7,NA,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-21,7,0.3,79,24.3,19.4,16.7,0,101550,NA,11719,0.6,116.7,87.4,6.7,31.3,3.4,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-22,8,0.6,88,23.1,21.7,19.1,0.8,101830,NA,10129,0.8,119.4,89.9,7.4,31.7,4.8,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-23,7,0.7,90,21.7,20,16.9,20.6,101320,NA,12935,0.7,122.1,103.1,10.2,30.3,6,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-24,6,3.1,138,20.9,19.2,16.7,0,99960,NA,17006,0.7,168.3,123,9.6,43.1,6.5,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
2010-08-25,2,10.3,233,19.3,16.3,11.6,0.4,100920,NA,10062,0.8,194.8,124.5,6.4,36,7,160.422767234487,82.8952868489248,5.767624,2.0084825,NA,NA,NA
